destination,risk_level,last_updated,url
French Polynesia,Exercise normal safety precautions,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/french-polynesia
Gabon,Exercise a high degree of caution,2025-05-07T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/gabon
Georgia,Exercise normal safety precautions,2025-06-03T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/georgia
Germany,Exercise normal safety precautions,2025-04-16T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/germany
Ghana,Exercise a high degree of caution,2025-04-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/ghana
Greece,Exercise normal safety precautions,2025-07-08T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/greece
Guam,Exercise normal safety precautions,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/guam
Guatemala,Exercise a high degree of caution,2025-02-20T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/guatemala
Guinea,Exercise a high degree of caution,2025-03-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/guinea
Guyana,Exercise a high degree of caution,2025-06-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/guyana
Haiti,Do not travel,2025-02-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/haiti
Honduras,Exercise a high degree of caution,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/honduras
Hong Kong,Exercise a high degree of caution,2025-04-16T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/hong-kong
Hungary,Exercise normal safety precautions,2025-07-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/hungary
Iceland,Exercise normal safety precautions,2025-04-04T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/iceland
India,Exercise a high degree of caution,2025-05-12T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/india
Indonesia,Exercise a high degree of caution,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/indonesia
Iran,Do not travel,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/iran
Iraq,Do not travel,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/iraq
Ireland,Exercise normal safety precautions,2025-03-12T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/ireland
Israel and the Occupied Palestinian Territories,Reconsider your need to travel,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/israel-and-occupied-palestinian-territories
Italy,Exercise normal safety precautions,2025-05-19T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/italy
Jamaica,Exercise a high degree of caution,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/jamaica
Japan,Exercise normal safety precautions,2025-03-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/japan
Jordan,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/jordan
Kazakhstan,Exercise normal safety precautions,2024-10-18T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/kazakhstan
Kenya,Exercise a high degree of caution,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/kenya
Kosovo,Exercise a high degree of caution,2024-10-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/kosovo
Kuwait,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/kuwait
Kyrgyz Republic,Exercise a high degree of caution,2025-02-18T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/kyrgyz-republic
Laos,Exercise normal safety precautions,2025-05-22T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/laos
Latvia,Exercise normal safety precautions,2025-05-29T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/latvia
Lebanon,Do not travel,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/lebanon
Lesotho,Exercise a high degree of caution,2025-03-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/lesotho
Liberia,Exercise a high degree of caution,2025-01-10T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/liberia
Libya,Do not travel,2025-04-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/libya
Lithuania,Exercise normal safety precautions,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/lithuania
Macau,Exercise a high degree of caution,2025-03-20T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/macau
Madagascar,Exercise a high degree of caution,2025-01-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/madagascar
Malawi,Exercise a high degree of caution,2025-07-07T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/malawi
Malaysia,Exercise normal safety precautions,2025-04-10T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/malaysia
Maldives,Exercise a high degree of caution,2025-06-05T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/maldives
Mali,Do not travel,2025-07-02T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/mali
Malta,Exercise normal safety precautions,2025-03-28T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/malta
Marshall Islands,Exercise normal safety precautions,2025-03-26T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/marshall-islands
Mauritania,Reconsider your need to travel,2025-05-16T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/mauritania
Mauritius,Exercise normal safety precautions,2025-03-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/mauritius
Mexico,Exercise a high degree of caution,2025-06-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/mexico
Moldova,Exercise a high degree of caution,2025-02-17T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/moldova
Mongolia,Exercise normal safety precautions,2025-01-15T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/mongolia
Montenegro,Exercise normal safety precautions,2024-12-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/montenegro
Morocco,Exercise a high degree of caution,2024-12-10T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/morocco
Mozambique,Exercise a high degree of caution,2025-07-02T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/mozambique
Myanmar,Do not travel,2025-04-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/myanmar
Namibia,Exercise normal safety precautions,2025-05-12T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/namibia
Nepal,Exercise a high degree of caution,2025-03-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/nepal
Netherlands,Exercise normal safety precautions,2025-06-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/netherlands
New Caledonia,Exercise a high degree of caution,2025-06-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/new-caledonia
New Zealand,Exercise normal safety precautions,2025-03-17T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/new-zealand
Nicaragua,Exercise a high degree of caution,2025-05-14T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/nicaragua
Niger,Do not travel,2025-05-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/niger
Nigeria,Reconsider your need to travel,2025-04-17T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/nigeria
Niue,Exercise normal safety precautions,2025-02-03T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/niue
No travel advice,,,https://www.smartraveller.gov.au/destinations/no-travel-advice
North Korea (Democratic People's Republic of Korea),Do not travel,2025-03-25T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/north-korea-democratic-peoples-republic-korea
North Macedonia,Exercise normal safety precautions,2025-02-07T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/north-macedonia
Norway,Exercise normal safety precautions,2025-05-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/norway
Oman,Exercise normal safety precautions,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/oman
Pakistan,Reconsider your need to travel,2025-05-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/pakistan
Palau,Exercise normal safety precautions,2025-01-22T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/palau
Panama,Exercise a high degree of caution,2025-02-19T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/panama
Papua New Guinea,Exercise a high degree of caution,2025-05-26T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/papua-new-guinea
Paraguay,Exercise a high degree of caution,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/paraguay
Peru,Exercise a high degree of caution,2025-06-04T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/peru
Philippines,Exercise a high degree of caution,2025-03-28T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/philippines
Poland,Exercise normal safety precautions,2025-07-09T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/poland
Portugal,Exercise normal safety precautions,2025-03-28T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/portugal
Qatar,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/qatar
Romania,Exercise normal safety precautions,2025-04-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/romania
Russia,Do not travel,2025-05-19T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/russia
Rwanda,Exercise normal safety precautions,2025-02-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/rwanda
Samoa,Exercise normal safety precautions,2025-05-08T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/samoa
Saudi Arabia,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/saudi-arabia
Senegal,Exercise a high degree of caution,2025-03-26T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/senegal
Serbia,Exercise normal safety precautions,2025-03-18T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/serbia
Seychelles,Exercise normal safety precautions,2024-09-05T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/seychelles
Sierra Leone,Exercise a high degree of caution,2025-06-10T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/sierra-leone
Singapore,Exercise normal safety precautions,2025-04-22T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/singapore
Slovakia,Exercise normal safety precautions,2025-07-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/slovakia
Slovenia,Exercise normal safety precautions,2025-03-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/slovenia
Solomon Islands,Exercise normal safety precautions,2025-05-08T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/solomon-islands
Somalia,Do not travel,2025-04-23T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/somalia
South Africa,Exercise a high degree of caution,2025-04-10T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/south-africa
South Korea (Republic of Korea),Exercise normal safety precautions,2025-06-16T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/south-korea-republic-korea
South Sudan,Do not travel,2025-05-06T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/south-sudan
Spain,Exercise normal safety precautions,2025-04-29T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/spain
Sri Lanka,Exercise a high degree of caution,2025-06-06T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/sri-lanka
Sudan,Do not travel,2025-05-05T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/sudan
Sweden,Exercise normal safety precautions,2025-06-05T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/sweden
Switzerland,Exercise normal safety precautions,2025-06-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/switzerland
Syria,Do not travel,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/syria
Taiwan,Exercise normal safety precautions,2025-02-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/taiwan
Tajikistan,Exercise a high degree of caution,2025-01-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/tajikistan
Tanzania,Exercise a high degree of caution,2025-03-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/tanzania
Thailand,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/thailand
The Bahamas,Exercise a high degree of caution,2025-02-04T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/bahamas
The Gambia,Exercise a high degree of caution,2024-07-22T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/gambia
Timor-Leste,Exercise a high degree of caution,2024-12-02T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/timor-leste
Tonga,Exercise normal safety precautions,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/tonga
Trinidad and Tobago,Exercise a high degree of caution,2025-05-29T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/trinidad-and-tobago
Tunisia,Exercise a high degree of caution,2025-01-17T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/tunisia
Turkmenistan,Exercise a high degree of caution,2025-07-11T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/turkmenistan
Türkiye,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/turkiye
Uganda,Exercise a high degree of caution,2025-07-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/uganda
Ukraine,Do not travel,2025-03-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/ukraine
United Arab Emirates,Exercise a high degree of caution,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/united-arab-emirates
United Kingdom,Exercise a high degree of caution,2025-06-05T12:00:00Z,https://www.smartraveller.gov.au/destinations/europe/united-kingdom
United States of America,Exercise normal safety precautions,2025-06-24T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/united-states-america
Uruguay,Exercise normal safety precautions,2025-05-21T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/uruguay
Uzbekistan,Exercise a high degree of caution,2025-02-25T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/uzbekistan
Vanuatu,Exercise normal safety precautions,2025-05-27T12:00:00Z,https://www.smartraveller.gov.au/destinations/pacific/vanuatu
Venezuela,Do not travel,2025-05-28T12:00:00Z,https://www.smartraveller.gov.au/destinations/americas/venezuela
Vietnam,Exercise normal safety precautions,2025-06-13T12:00:00Z,https://www.smartraveller.gov.au/destinations/asia/vietnam
Yemen,Do not travel,2025-06-30T12:00:00Z,https://www.smartraveller.gov.au/destinations/middle-east/yemen
Zambia,Exercise normal safety precautions,2025-02-25T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/zambia
Zimbabwe,Exercise a high degree of caution,2025-04-01T12:00:00Z,https://www.smartraveller.gov.au/destinations/africa/zimbabwe
