destination,last_updated,details_url
Eritrea,2024-09-12T17:07:33+01:00,https://www.gov.uk/foreign-travel-advice/eritrea
Estonia,2025-03-17T13:59:06+00:00,https://www.gov.uk/foreign-travel-advice/estonia
Eswatini,2025-02-03T15:21:43+00:00,https://www.gov.uk/foreign-travel-advice/eswatini
Ethiopia,2025-03-14T23:54:31+00:00,https://www.gov.uk/foreign-travel-advice/ethiopia
Falkland Islands,2025-03-04T14:33:09+00:00,https://www.gov.uk/foreign-travel-advice/falkland-islands
Federated States of Micronesia,2024-03-01T11:24:30+00:00,https://www.gov.uk/foreign-travel-advice/federated-states-of-micronesia
Fiji,2024-12-24T13:43:29+00:00,https://www.gov.uk/foreign-travel-advice/fiji
Finland,2025-03-17T14:00:15+00:00,https://www.gov.uk/foreign-travel-advice/finland
France,2025-03-17T14:01:39+00:00,https://www.gov.uk/foreign-travel-advice/france
French Guiana,2024-04-18T16:26:03+01:00,https://www.gov.uk/foreign-travel-advice/french-guiana
French Polynesia,2024-12-19T10:28:07+00:00,https://www.gov.uk/foreign-travel-advice/french-polynesia
Gabon,2024-12-19T16:21:24+00:00,https://www.gov.uk/foreign-travel-advice/gabon
The Gambia,2024-07-09T16:01:18+01:00,https://www.gov.uk/foreign-travel-advice/the-gambia
Georgia,2025-03-07T12:41:13+00:00,https://www.gov.uk/foreign-travel-advice/georgia
Germany,2025-03-17T14:02:45+00:00,https://www.gov.uk/foreign-travel-advice/germany
Ghana,2025-03-03T16:34:47+00:00,https://www.gov.uk/foreign-travel-advice/ghana
Gibraltar,2024-05-30T10:17:41+01:00,https://www.gov.uk/foreign-travel-advice/gibraltar
Greece,2025-03-26T11:18:56+00:00,https://www.gov.uk/foreign-travel-advice/greece
Grenada,2025-01-08T14:44:29+00:00,https://www.gov.uk/foreign-travel-advice/grenada
Guadeloupe,2025-01-10T12:48:38+00:00,https://www.gov.uk/foreign-travel-advice/guadeloupe
Guatemala,2025-02-17T14:39:30+00:00,https://www.gov.uk/foreign-travel-advice/guatemala
Guinea,2025-03-18T11:57:30+00:00,https://www.gov.uk/foreign-travel-advice/guinea
Guinea-Bissau,2024-04-10T09:59:54+01:00,https://www.gov.uk/foreign-travel-advice/guinea-bissau
Guyana,2025-01-09T14:31:15+00:00,https://www.gov.uk/foreign-travel-advice/guyana
Haiti,2024-10-15T14:18:15+01:00,https://www.gov.uk/foreign-travel-advice/haiti
Honduras,2024-12-05T12:06:09+00:00,https://www.gov.uk/foreign-travel-advice/honduras
Hong Kong,2024-10-25T16:09:57+01:00,https://www.gov.uk/foreign-travel-advice/hong-kong
Hungary,2025-03-27T17:14:09+00:00,https://www.gov.uk/foreign-travel-advice/hungary
Iceland,2025-03-17T14:21:51+00:00,https://www.gov.uk/foreign-travel-advice/iceland
India,2025-03-03T09:48:37+00:00,https://www.gov.uk/foreign-travel-advice/india
Indonesia,2025-01-07T11:33:05+00:00,https://www.gov.uk/foreign-travel-advice/indonesia
Iran,2025-03-12T11:18:25+00:00,https://www.gov.uk/foreign-travel-advice/iran
Iraq,2025-03-13T15:12:31+00:00,https://www.gov.uk/foreign-travel-advice/iraq
Ireland,2025-01-24T21:05:05+00:00,https://www.gov.uk/foreign-travel-advice/ireland
Israel,2025-03-07T10:26:30+00:00,https://www.gov.uk/foreign-travel-advice/israel
Italy,2025-03-17T14:23:43+00:00,https://www.gov.uk/foreign-travel-advice/italy
Jamaica,2025-02-14T13:13:27+00:00,https://www.gov.uk/foreign-travel-advice/jamaica
Japan,2024-11-27T09:41:57+00:00,https://www.gov.uk/foreign-travel-advice/japan
Jordan,2025-03-07T09:49:28+00:00,https://www.gov.uk/foreign-travel-advice/jordan
Kazakhstan,2024-09-18T16:42:47+01:00,https://www.gov.uk/foreign-travel-advice/kazakhstan
Kenya,2024-11-04T12:48:11+00:00,https://www.gov.uk/foreign-travel-advice/kenya
Kiribati,2024-03-12T15:57:06+00:00,https://www.gov.uk/foreign-travel-advice/kiribati
Kosovo,2024-08-29T11:27:27+01:00,https://www.gov.uk/foreign-travel-advice/kosovo
Kuwait,2025-01-24T16:07:02+00:00,https://www.gov.uk/foreign-travel-advice/kuwait
Kyrgyzstan,2025-03-25T10:27:07+00:00,https://www.gov.uk/foreign-travel-advice/kyrgyzstan
Laos,2025-03-28T10:00:23+00:00,https://www.gov.uk/foreign-travel-advice/laos
Latvia,2025-03-17T14:24:52+00:00,https://www.gov.uk/foreign-travel-advice/latvia
Lebanon,2025-03-27T15:00:08+00:00,https://www.gov.uk/foreign-travel-advice/lebanon
Lesotho,2023-12-20T14:24:30+00:00,https://www.gov.uk/foreign-travel-advice/lesotho
