destination,risk_level,last_updated_advisory,advisory_details_url,risk_level_number,country_info_url,last_updated_country_details
Libya,Level 4: Do Not Travel,2024-08-01T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/libya-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Libya.html,2025-01-21T00:00:00
Liechtenstein,Level 1: Exercise Normal Precautions,2023-07-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/Liechtenstein-Travel-Advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Liechtenstein.html,2019-10-08T00:00:00
Lithuania,Level 1: Exercise Normal Precautions,2024-08-09T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/lithuania-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Lithuania.html,2023-07-26T00:00:00
Luxembourg,Level 1: Exercise Normal Precautions,2024-07-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/luxembourg-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Luxembourg.html,2025-04-11T00:00:00
Macau,Level 3: Reconsider Travel,2024-11-27T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/macau-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Macau.html,2025-01-21T00:00:00
Madagascar,Level 2: Exercise Increased Caution,2024-11-05T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/madagascar-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Madagascar.html,2023-11-07T00:00:00
Malawi,Level 2: Exercise Increased Caution,2024-12-06T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/malawi-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Malawi.html,2024-12-30T00:00:00
Malaysia,Level 1: Exercise Normal Precautions,2024-07-24T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/malaysia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Malaysia.html,2024-10-30T00:00:00
Maldives,Level 2: Exercise Increased Caution,2024-07-11T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/maldives-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Maldives.html,2025-01-21T00:00:00
Mali,Level 4: Do Not Travel,2023-07-31T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mali-travel-advisory.html,4,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Mali.html,2021-01-25T00:00:00
Malta,Level 1: Exercise Normal Precautions,2023-07-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/malta-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Malta.html,2019-07-01T00:00:00
Marshall Islands,Level 1: Exercise Normal Precautions,2024-05-28T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/marshall-islands-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/MarshallIslands.html,2020-03-03T00:00:00
Mauritania,Level 3: Reconsider Travel,2023-07-31T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mauritania-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Mauritania.html,2025-04-03T00:00:00
Mauritius,Level 1: Exercise Normal Precautions,2024-08-30T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mauritius-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Mauritius.html,2025-01-21T00:00:00
Mexico,Other,2024-09-06T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mexico-travel-advisory.html,-1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Mexico.html,2025-03-20T00:00:00
Moldova,Level 2: Exercise Increased Caution,2024-11-29T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/moldova-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Moldova.html,2022-11-09T00:00:00
Mongolia,Level 1: Exercise Normal Precautions,2025-01-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mongolia-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Mongolia.html,2025-01-22T00:00:00
Montenegro,Level 1: Exercise Normal Precautions,2024-11-26T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/montenegro-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Montenegro.html,2025-01-21T00:00:00
Montserrat,Level 1: Exercise Normal Precautions,2024-08-22T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/montserrat-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Montserrat.html,2023-10-10T00:00:00
Morocco,Level 2: Exercise Increased Caution,2025-04-21T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/morocco-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Morocco.html,2018-11-08T00:00:00
Mozambique,Level 3: Reconsider Travel,2024-12-19T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/mozambique-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Mozambique.html,2023-12-19T00:00:00
Namibia,Level 2: Exercise Increased Caution,2024-12-23T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/namibia-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Namibia.html,2024-01-19T00:00:00
Nauru,Level 1: Exercise Normal Precautions,2024-12-02T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nauru-travel-advisory.html,1,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Nauru.html,2024-12-02T00:00:00
Nepal,Level 2: Exercise Increased Caution,2024-12-18T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/nepal-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Nepal.html,2025-03-24T00:00:00
Netherlands,Level 2: Exercise Increased Caution,2024-08-09T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/netherlands-travel-advisory.html,2,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/Netherlands.html,2023-03-03T00:00:00
New Caledonia,Level 3: Reconsider Travel,2024-06-04T00:00:00,https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/new-caledonia-travel-advisory.html,3,https://travel.state.gov/content/travel/en/international-travel/International-Travel-Country-Information-Pages/NewCaledonia.html,2025-01-21T00:00:00
